717292173;Adame Roman, Oscar Francisco;16/07/2006;13;CL 72 SUR # 79 D - 33;7;7;true
717291558;alvarez Cuartas, Maria;12/09/2009;10;CL 14 SUR # 25 - 05 ESTE;4;5;true
717292188;Alvarez Delgado, Janeth;02/09/2006;13;KR 70 B # 24 B - 35 SUR;8;7;true
717291573;alvarez Garcia, Benito;10/06/2009;10;KR 7 # 155 - 20;1;4;true
717291588;alvarez Rodriguez, Emilio Marcelino;24/08/2009;10;KR 111 A # 139 - 88;11;5;true
717291603;alvarez Tamargo, Maria;13/07/2009;10;KR 10 # 13 - 52 SUR;4;4;true
717291618;Astray Sanchez, Julio;05/07/2009;10;CL 30 SUR # 15 - 45;18;4;true
717292203;Avalos Jimenez, Jazive Sugey;22/07/2006;13;TV 72 B # 44 C - 19 SUR;8;7;true
717291633;Barrera Cuervo, Moises;11/03/2010;10;CL 37 SUR # 1 F - 00 ESTE;4;5;true
717292218;Barrios Rodriguez, Angela;31/03/2007;13;CL 72 SUR # 100 A - 71;7;7;true
717292233;Benitez Castro, Carlos Rodrigo;06/12/2006;13;KR 78 C # 8 A - 43;8;7;false
717292248;Bernabe Elguea, Milton Juan Manuel;07/03/2006;14;KR 77 L # 65 J - 73 SUR;7;8;true
717292263;Blancas Castro, Juan Pablo;03/06/2005;14;DG 48 B SUR # 24 B - 73;6;8;true
717291648;Blanco Carpintero, Graciela;05/07/2009;10;DG 45 BIS A SUR # 16 B - 23;18;4;true
717292278;Cadena Arellano, Mirna Yesenia;18/02/2006;14;KR 1 G ESTE # 84 A - 42 SUR;5;8;true
717291663;Campo Rilo, Paula Del Carmen;17/05/2009;10;KR 98 B # 74 - 68 SUR;7;4;false
717292293;Carrillo Flores, Roberto Abraham;08/04/2006;14;CL 70 SUR # 56 - 45;19;8;true
717292308;Cejudo Guadarrama, Mariana;21/02/2006;14;KR 25 # 53 B - 32 SUR;6;9;false
717291678;Cortes Garcia, Jaime Maria;30/10/2009;10;KR 72 G # 39 - 57 SUR;8;4;false
717292323;Cortes Solis, Jair Oswaldo;16/04/2006;14;KR 17 B # 64 B - 45 SUR;19;8;false
717292338;Diaz Martinez, Suri Sarahi;19/10/2005;14;KR 6 H ESTE # 114 - 88 SUR;5;8;true
717291693;Diaz Ubieta, Ismael;17/02/2010;10;KR 86 # 74 - 00 SUR;7;4;false
717292353;Dominguez Ojeda, Miriam Citlalli;10/10/2005;14;CL 52 SUR # 97 C - 35;7;8;true
717292368;Eloysa Velazquez, Eunice Noemi;03/05/2006;13;KR 80 I # 57 B - 50 SUR;8;9;false
717291708;Fernandez Espina, Bruno;18/02/2010;10;TV 5 J # 48 F - 69 SUR;18;4;true
717291723;Fernandez Fernandez, Hector;29/09/2008;11;CL 37 B SUR # 68 D - 93;8;5;false
717291738;Fernandez Somoano, Pedro;18/06/2008;11;CL 42 A SUR # 12 A - 27 ESTE;4;5;false
717292383;Flores Ocampo, Ulises Ismael;21/07/2005;14;CL 32 SUR # 22 - 30;18;8;true
717291753;Garcia Fernandez, Alejandra;02/04/2009;11;KR 100 A # 130 - 18;11;5;false
717291768;Garcia Garcia, Beatriz;26/11/2008;11;CL 39 SUR # 51 D - 19;16;6;false
717291783;Garcia Garcia, Pablo;28/03/2009;11;KR 53 # 135 - 13;11;5;true
717291798;Garcia Gonzalez, Guillermo;22/01/2009;11;CL 27 SUR # 22 A - 02;18;4;false
717291813;Garcia Suarez, Adrian;06/03/2009;11;KR 17 F # 73 A - 31 SUR;19;5;false
717292398;Garcia Valdez, Alfredo Enrique;14/02/2006;14;CL 30 SUR # 18 - 25;18;8;false
717292413;Garcia Valdez, Mario Johan;04/03/2006;14;CL 2 # 93 - 28;8;8;false
717292428;Gardu–o Galiana, Eduardo Daniel;26/10/2004;15;KR 5 A # 48 M - 50 SUR;18;9;false
717291828;Gonzalez Garcia, Antonio;03/10/2008;11;CL 11 # 65 B - 10;16;6;true
717291843;Gonzalez Tomas, Maria Adelaida;01/12/2008;11;CL 3 # 9 - 70;3;5;false
717292443;Hernandez Lara, Maria Camila;05/07/2004;15;CL 69 SUR # 18 B - 35;19;9;false
717292458;Hernandez Rodriguez, Rosa Yaquelin;08/12/2004;15;KR 18 I # 69 D - 35 SUR;19;9;true
717292473;Huerta Fernandez, Jose Rodrigo;28/02/2005;15;KR 101 # 23 - 42;9;8;false
717292488;Hurtado Lagunas, Christian David;04/03/2005;15;CL 165 # 8 A - 03;1;9;true
717292503;Hurtado Perez, Erick Romualdo;14/07/2004;15;CL 60 A SUR # 73 - 41;19;9;true
717291858;Iglesias Santirso, Lucia;27/03/2009;11;KR 77 A # 67 - 17;10;5;false
717292518;Jimenez Salazar, Gloria Rocio;03/01/2005;15;CL 5 A SUR # 88 B - 08;8;9;false
717292533;Lopez Valladares, Sandra Ibeth;15/06/2003;16;KR 51 # 16 - 64 SUR;16;10;true
717291873;Martinez alvarez, Juan Manuel;13/01/2009;11;CL 17 D # 123 B - 26;9;6;false
717292578;Martinez Cobos, Justo Eduardo;27/08/2003;16;TV 6 B # 100 C - 55 SUR;5;10;true
717292548;Martinez Gonzalez, Sthefania;11/07/2003;16;KR 84 A # 57 B - 04 SUR;7;10;false
